video_id,url,mp4,title,channel,duration_seconds,view_count,published,query,source,thumbnail,matched_keywords,rejected_reason,collected_at
XRIndzl5T3U,https://www.youtube.com/watch?v=XRIndzl5T3U,https://www.youtube.com/watch?v=XRIndzl5T3U,Flying over Enchanted Forest 4K - Aerial Drone Film w/ Celtic Music for Relaxing & Stress Relief,Relax Night and Day - Beautiful Nature & Sounds,11103,48901,6 years ago,drone forest river cinematic,youtube_html_search,https://i.ytimg.com/vi/XRIndzl5T3U/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCRxf3Zi6_yaYNKIm4rqgVyH6koMA,drone|aerial,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
Y1knkf7RsCU,https://www.youtube.com/watch?v=Y1knkf7RsCU,https://www.youtube.com/watch?v=Y1knkf7RsCU,Singing Dune | Cinematic 4K Drone Footage of Kazakhstan's desert landscapes,Twourists ,103,248,6 months ago,drone desert landscape 4k,youtube_html_search,https://i.ytimg.com/vi/Y1knkf7RsCU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjWm9LvrS87Ud_7yhfx-7wIvn7-g,drone|cinematic|landscape,,2026-05-23T13:19:25.265433+00:00
eDl7bW4aec4,https://www.youtube.com/watch?v=eDl7bW4aec4,https://www.youtube.com/watch?v=eDl7bW4aec4,Beauty of Desert  ｜Landscape Aerial View｜ Dunes ｜ Sand ｜ Travel ｜Drone Shot ｜ 4K HD Videos,4K HD Videos,720,35,2 years ago,drone desert landscape 4k,youtube_html_search,https://i.ytimg.com/vi/eDl7bW4aec4/hq720.jpg?sqp=-oaymwE2CNAFEJQDSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARhyIE0oNTAP&rs=AOn4CLAcc3SH_f7W9e2lJaoobnkhAQmvfA,drone|aerial|landscape,,2026-05-23T13:19:25.265433+00:00
225YNzGZAoY,https://www.youtube.com/watch?v=225YNzGZAoY,https://www.youtube.com/watch?v=225YNzGZAoY,FLYING OVER ARIZONA (4K UHD) - Calming Music With Wonderful Natural Landscape Film For Relaxation,Earth Relaxation,12758,77943,3 years ago,drone desert landscape 4k,youtube_html_search,https://i.ytimg.com/vi/225YNzGZAoY/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCzsnNeEv4mnYUBSkj2OR2p8MQkEw,landscape,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
P0xNc9PQy64,https://www.youtube.com/watch?v=P0xNc9PQy64,https://www.youtube.com/watch?v=P0xNc9PQy64,Morocco 4K - Stunning Desert Landscapes and Rich Cultural Heritage with Calming Music - 4K UHD,Beautiful World 4k,42897,64165,Streamed 1 year ago,drone desert landscape 4k,youtube_html_search,https://i.ytimg.com/vi/P0xNc9PQy64/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjBo3XRTHOywHjrFWIjwuckbT3Bg,landscape,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
Zo5aDMbn4io,https://www.youtube.com/watch?v=Zo5aDMbn4io,https://www.youtube.com/watch?v=Zo5aDMbn4io,4K Fascinating Aerial Views of Canada - 7 HOURS Wintertime Ambient Drone Film - Part #2,4K Relaxation Channel,24605,574638,5 years ago,drone snow mountain flight,youtube_html_search,https://i.ytimg.com/vi/Zo5aDMbn4io/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCf_V5aqYnkLD9O3KWP-IrTwYGn4g,drone|aerial,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
Ik4T_FMKDio,https://www.youtube.com/watch?v=Ik4T_FMKDio,https://www.youtube.com/watch?v=Ik4T_FMKDio,4K Winter in Norway - Ambient Drone Film - Bird's Eye View of Most Famous Places (9 HOURS),4K Relaxation Channel,32279,731042,3 years ago,drone snow mountain flight,youtube_html_search,https://i.ytimg.com/vi/Ik4T_FMKDio/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDEAliAOWV8EkDB8NziRvUYViG3TQ,drone,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
GZDz38vxyLc,https://www.youtube.com/watch?v=GZDz38vxyLc,https://www.youtube.com/watch?v=GZDz38vxyLc,Mourne Mountains in Snow - Cinematic Drone & FPV Footage - DJI Mavic 3,Ben Toogood,133,14784,3 years ago,drone snow mountain flight,youtube_html_search,https://i.ytimg.com/vi/GZDz38vxyLc/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCir10axsveioPYt0bAxKWpMAGQFA,drone|fpv|cinematic,,2026-05-23T13:19:25.265433+00:00
D_vOqkEgmY0,https://www.youtube.com/watch?v=D_vOqkEgmY0,https://www.youtube.com/watch?v=D_vOqkEgmY0,Stunning Drone Footage of Islands From The Sky | BBC Earth,BBC Earth,606,188296,6 years ago,drone tropical island aerial,youtube_html_search,https://i.ytimg.com/vi/D_vOqkEgmY0/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAB8sCcujsZ8y9W1XBbQhYgrI7wvw,drone,,2026-05-23T13:19:25.265433+00:00
CYBN1nhXj3U,https://www.youtube.com/watch?v=CYBN1nhXj3U,https://www.youtube.com/watch?v=CYBN1nhXj3U,"Gili 4K Drone Footage | Tropical Islands, Clear Water & Beach Views",Deep Ocean Waves 4K,11579,219,3 weeks ago,drone tropical island aerial,youtube_html_search,https://i.ytimg.com/vi/CYBN1nhXj3U/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC7qYP1UM_mnTP2MEPWFqzxPzH_Cw,drone,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
wjYZ0LgzK10,https://www.youtube.com/watch?v=wjYZ0LgzK10,https://www.youtube.com/watch?v=wjYZ0LgzK10,Caribbean Beaches Aerial Journey in 4K | Chill Island Vibes,Alejandro Torres,17028,883018,9 months ago,drone tropical island aerial,youtube_html_search,https://i.ytimg.com/vi/wjYZ0LgzK10/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9ZPSU5WINGc0MBGDFDkiya45q8w,aerial,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
onOEns_MnC4,https://www.youtube.com/watch?v=onOEns_MnC4,https://www.youtube.com/watch?v=onOEns_MnC4,4K Video Ultra HD - Fly Away to a Tropical Island!,LoungeV Films - Relaxing Music and Nature Sounds,3704,13091695,7 years ago,drone tropical island aerial,youtube_html_search,https://i.ytimg.com/vi/onOEns_MnC4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBd-5Pd9fGZWTcohrCDe4LrDis8-w,,duration_gt_1800,2026-05-23T13:19:25.265433+00:00
